feature,importance,rank,importance_pct
id_05,1777.4413948059082,145,0.06
V78,1773.1399947404861,146,0.06
D9,1675.4154125452042,147,0.05
V244,1649.719913482666,148,0.05
V55,1609.8691902160645,149,0.05
V56,1577.3678407669067,150,0.05
id_18,1576.0284954360686,151,0.05
V53,1575.2287998199463,152,0.05
D14,1523.5402746200562,153,0.05
V86,1450.0443096160889,154,0.05
D13,1408.8659644126892,155,0.05
C3,1406.7617301940918,156,0.05
M9,1402.5584030151367,157,0.05
V136,1374.9650039672852,158,0.05
V19,1365.5722641944885,159,0.04
V35,1345.0269012451172,160,0.04
V127,1343.6035057604313,161,0.04
V7,1342.3916983604431,162,0.04
V48,1332.6828262209892,163,0.04
V96,1284.5997059494257,164,0.04
V36,1265.9752025604248,165,0.04
V139,1244.4642280023545,166,0.04
V282,1230.1612796783447,167,0.04
M8,1225.1852893829346,168,0.04
V77,1183.8882837295532,169,0.04
M7,1172.5956012010574,170,0.04
V44,1123.3566036522388,171,0.04
id_11,1083.9859066009521,172,0.04
V99,1074.8490198142827,173,0.04
V124,1056.9547996520996,174,0.03
V336,1044.2500267028809,175,0.03
V283,1038.9639737010002,176,0.03
V163,1024.3698139190674,177,0.03
V133,1010.6743343770504,178,0.03
V306,959.7054222822189,179,0.03
V266,916.4062280654907,180,0.03
V289,914.8456878662109,181,0.03
id_14,899.3377923369408,182,0.03
C10,874.2466063201427,183,0.03
V287,858.4464893341064,184,0.03
id_17,849.9703941345215,185,0.03
V164,846.3999905586243,186,0.03
id_03,845.4643993377686,187,0.03
V63,825.8346920013428,188,0.03
is_round_amount,807.5603904724121,189,0.03
V323,791.197603225708,190,0.03
V5,787.6169986724854,191,0.03
V152,772.5405950546265,192,0.03
addr2,761.7329864501953,193,0.02
D12,732.2852544784546,194,0.02
V205,711.4495010375977,195,0.02
V24,676.1916885375977,196,0.02
V72,659.6010932922363,197,0.02
V79,654.0474090576172,198,0.02
M2,645.7602081298828,199,0.02
V298,645.409008026123,200,0.02
